"","nmajor","major1","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internships","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","double_major"
"439",1,"Business Analytics",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Black or African American","Male","3.00 - 3.49",2021,"0","Chicago","JP Morgan","Analytics Finance",NA,NA,"1","1","accepted fulltime job","Yes","Yes",62000,"No Double Major"
"440",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",2019,"0","Chicago","Stericycle","Consulting

 Logistics / Supply Chain

 Operations / Procurement",NA,NA,"1","3","accepted fulltime job","Yes","Yes",52000,"No Double Major"
"441",1,"Marketing",0,1,0,0,0,0,1,0,0,0,0,"Business Analytics","Business Analytics","White","Female","3.50 - 4.00",2020,"Magna Cum Laude","Cincinnati","84.51º","Analytics Consulting",NA,NA,"2","1","accepted fulltime job","Yes","Yes",65000,"No Double Major"
"442",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",2021,"0","Cleveland","Quicken Loans","Finance",NA,NA,"3","3","accepted fulltime job","Yes","Yes",40000,"No Double Major"
"443",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Arts Related","No Minor","White","Female","3.00 - 3.49",2021,"0","Columbus","Nations Lending","Analytics Marketing / Sales",NA,NA,"3","2","accepted fulltime job","Yes","Yes",NA,"No Double Major"
"444",2,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0",NA,NA,NA,NA,NA,"3","1","continuing education",NA,NA,NA,"Double Major"
"445",1,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"Information Security","No Minor","White","Female","3.00 - 3.49",2020,"0","Chicago","RSM","Accounting Consulting IT Assurance / IT Audit",NA,NA,"1","1","accepted fulltime job","Yes","Yes",69000,"No Double Major"
"446",1,"Marketing",0,1,0,0,0,0,1,0,0,0,0,"Mangement and Leadership","Mangement and Leadership","Hispanic/Latino","Male","3.00 - 3.49",2019,"0","Columbus","Abercrombie & Fitch","Other: Merchandising",NA,NA,"2","1","accepted fulltime job","Yes","Yes",62500,"No Double Major"
"447",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Interactive Media Studies","No Minor","White","Female","3.00 - 3.49",2020,"0","Kansas City","Voyage Consulting Group",NA,NA,NA,"2",NA,"accepted fulltime job",NA,NA,NA,"No Double Major"
"448",1,"Marketing",1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",2020,"0","Chicago","Oracle Netsuite",NA,NA,NA,"1",NA,"accepted fulltime job",NA,NA,50000,"No Double Major"
